index,complaint,transaction_type,account_type_source,account_type_target,merchant,channel,direction
3,My phone and wallet was stolen from my car I had to file a report about the incident. And my money was also stolen and use from all my accounts I had,other,unknown,unknown,unknown,unknown,outgoing
8,XX/XX/year> I disputed one collection account and one charge off account stating someone used my identity to purchase items and obtain a personal loan and a credit card. As a result these items were removed from my consumer report and recently placed back on there without properly notifying me.,other,other,none,unknown,unknown,unknown
7,I opened the account and then I lost online access and they are not letting me access my account depriving me of access to my information and funds,unknown,unknown,unknown,unknown,online,unknown
4,My card was compromised I called and asked to close or freeze the card and send another card I never got the other card so the account was compromised twice,other,credit_card,none,unknown,other,unknown
5,"Company claims its reporting too the 3 credit bureaus, and bureaus no such reports has been made to them. In fact XX/XX/XXXX & XX/XX/XXXX there were no reports submitted at all.and the balance of the credit remains the in XX/XX/XXXX.",other,credit_card,none,credit bureaus,online,unknown
1,"I always paid on time, and this giving me XXXX, I neves miss paying this account, Please update it and remove the Inacccurate late payment on my account and I can't even sleep with this problem, It's hard for me to accept it.",payment,unknown,unknown,XXXX,unknown,outgoing
0,Why ca n't they explain to what the full balance i owe includes. I returned some equipment and there is still a charge for equipment on my account. What are the service charges?,fee,credit_card,none,unknown,unknown,unknown
2,It is indeed ridiculous to see late payments recorded on my account when I have consistently made on-time payments without any history of being overdue. I firmly insist that you correct my account to accurately depict my payment history.,payment,unknown,unknown,unknown,unknown,outgoing
9,"An unknown individual place an application with chase credit. I reached out to chase bank, and they said I should receive a letter stating that.",other,credit_card,none,Chase,online,unknown
6,XXXX XXXX XXXX Bank of America XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX broke company-customer confidentiality laws by unlawfully handing over legal documents that were given to them by me to another company without my express permission to do so.,other,unknown,none,Bank of America,other,unknown
12,"There was an unauthorized charge of {$2000.00} on XX/XX/XXXX via a "" online advance ''. I did not authorize this, nor have I ever. My claim was wrongfully denied.",other,unknown,unknown,online advance,online,incoming
14,"On XX/XX/XXXX and XX/XX/XXXX I ask to validate my account. But they send me a billing statement. 

XXXX believe this debt is valid It has an open balance. 
This is an inaccurate reporting and it has to be removed off your my credit report Removed this immediately",other,checking,none,unknown,other,unknown
16,"It is unacceptable to have this late payment on my account, given my history of making payments on time. Please remove it and update my account accordingly.",payment,checking,none,unknown,online,outgoing
13,Speedy cash every month keeps going up on my balance. Instead of the amount owed going down every month it goes up. They took a payment of XXXX a month that I did not authorize.,payment,credit_card,none,Speedy Cash,online,outgoing
